person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Zina Popescu,zinapopescu,zinapopescu@acasa.ro,5560112026238,2022-11-17,"Strada Barbu, Sangeorz-Bai, 791539",0784 936 042,71:51:06:67:16:84,89.115.137.155,RO91RYZJ4634545313882043,2025-06-25 06:40:14,6494,255,633,1499260,a3533895-ac33-4bca-a8a1-be480ebb444b
Silviana Florea,silvianaflorea,silvianaflorea@kappa.ro,4321217454374,2000-04-28,"Bulevardul Nidia Popa Nr. 85, Huedin, 772543",0735 335 018,6e:37:ac:7b:7e:f9,71.163.113.235,RO21XNLW2885935942940924,2025-06-25 06:40:14,35616,326,400,1550171,7caab1aa-f7f8-4e9f-94c6-54419082fffb
Haralamb Voinea,haralambvoinea,haralambvoinea@141.ro,5470730122041,1967-03-24,"Bulevardul Mitică Ardelean Nr. 69 Bl. 33  Sc. 12 Ap. 898, Brasov, 463217",0253 979 013,4b:cc:85:cf:5e:38,157.191.57.106,RO41JEPJ1842781408790725,2025-06-25 06:40:14,6990,41,301,268372,d4242b62-9769-40bc-bdbf-bc9f9a6fc560
Avram Georgescu,avramgeorgescu,avramgeorgescu@acasa.ro,5850807339650,1990-03-27,"Drumul Zamfira Gheorghiu Nr. 293 Bl. 75  Sc. 77 Ap. 261, Otelu Rosu, 922331",0739 036 758,d1:c7:06:ab:e7:b1,177.155.62.13,RO35GCKH8904793377894173,2025-06-25 06:40:14,29506,170,65,632899,8d6197b0-71a5-4bac-b0f2-955200ad361c
Tinca Voinea,tincavoinea,tincavoinea@kappa.ro,1720402462826,1970-03-20,"Drumul Julia Gheorghiu Nr. 36, Brasov, 457948",0757 272 053,10:f4:97:ed:41:87,159.52.149.202,RO06VCBT1050154875413724,2025-06-25 06:40:14,13067,704,438,951642,da9b9640-e08f-4274-a602-3a51ebd25611
Iacob Ioniță,iacobioniță,iacobioniță@zzup.ro,5740108222886,1920-03-10,"Aleea Daniela Georgescu Nr. 48, Corabia, 582864",0720 118 526,bc:ff:0e:fc:e0:aa,113.165.57.49,RO88THJO9029353029320142,2025-06-25 06:40:14,3460,352,475,463982,4be8d58f-a3d9-45da-8f4c-89b153520b34
Codruța Oprea,codruțaoprea,codruțaoprea@kappa.ro,4100426204619,1963-05-07,"Drumul Suciu Nr. 11, Slobozia, 623733",0770 087 031,39:be:52:8b:22:e8,167.153.135.49,RO76HQDP1525287688543451,2025-06-25 06:40:14,16527,13,739,1627889,4ff1bff0-d882-425d-87df-26fcee42427c
Fabiana Dochioiu,fabianadochioiu,fabianadochioiu@acasa.ro,7330101344101,1977-01-22,"Bulevardul Basarab Tomescu Nr. 663, Magurele, 199117",0253 134 219,f0:25:1d:37:d4:d2,90.130.220.175,RO67QLTF3514089309599077,2025-06-25 06:40:14,15787,187,443,1822030,d5eb0f5d-210b-485e-bef0-381a32e2adf9
Georgel Suciu,georgelsuciu,georgelsuciu@gmail.com,4570614345234,2010-05-23,"Bulevardul Gheorghiu Nr. 30 Bl. 61  Sc. 15 Ap. 591, Valea Mare (Babeni), 300013",0236 031 556,5d:b4:49:fa:2b:80,152.181.117.201,RO35HKTM5747313188266723,2025-06-25 06:40:14,12675,367,730,1976164,bde5c114-f8d3-4999-9334-93e445974c45
Codrina Suciu,codrinasuciu,codrinasuciu@email.ro,8150820191856,1921-05-31,"Bulevardul Nistor Nr. 250, Savinesti (Poiana Teiului), 954784",0738 577 178,5f:a2:f0:37:40:b2,134.173.79.159,RO96FHVW9890798828396074,2025-06-25 06:40:14,10519,699,8,1773619,e837893d-513e-4a8b-b70e-aefd70735d22
Valeria Ionescu,valeriaionescu,valeriaionescu@gmail.com,3310323027721,1923-03-09,"Drumul Aanei, Sancraiu de Mures, 988907",0247 477 744,d7:8d:16:84:5f:41,129.114.64.157,RO64OVNX3031340746476556,2025-06-25 06:40:14,3257,476,61,1997369,331b29c5-2d6e-4891-9e34-489ca0680c9a
Mirela Aanei,mirelaaanei,mirelaaanei@141.ro,5881002225945,1946-08-01,"Soseaua Gheorghiu Nr. 27, Glina, 362012",0735 706 320,fb:25:96:cf:ef:b9,103.75.0.194,RO47JEIW0849793233725188,2025-06-25 06:40:14,28351,985,360,1745694,5d63b6d5-a5fc-4d4e-b0c1-e50efa501cc0
Adina Eftimie,adinaeftimie,adinaeftimie@gmail.com,6240816468549,1911-02-18,"Intrarea Albu, Copsa Mica, 724879",0259 852 802,9c:48:99:7a:9a:29,184.42.76.55,RO08IMNO4806934440461471,2025-06-25 06:40:14,28359,19,367,109196,fbe5b627-aada-49aa-895c-09af63f8d878
Basarab Stănescu,basarabstănescu,basarabstănescu@gmail.com,8720215314801,2009-02-14,"Aleea Robert Dumitrescu Nr. 25, Brasov, 319648",0729 214 342,87:a1:30:17:71:97,61.81.231.43,RO23DJZB7905521936116960,2025-06-25 06:40:14,22815,668,593,516624,bfa59fda-56b7-4aba-bcd9-50797b49e910
Eugen Pușcașu,eugenpușcașu,eugenpușcașu@post.ro,2701216442376,1974-04-01,"Bulevardul Dobre Nr. 77 Bl. 69  Sc. 77 Ap. 179, Gilau, 407713",0785 571 642,d4:95:1d:f2:4a:a7,99.237.23.58,RO08DHBL0681986992125210,2025-06-25 06:40:14,34159,69,233,917774,98f03397-c435-44d6-8854-2dac359bb7f7
Horațiu Dobre,horațiudobre,horațiudobre@141.ro,4951012238230,1970-05-02,"Bulevardul Tomescu Nr. 228 Bl. 98  Sc. 12 Ap. 648, Cobadin, 940401",0742 136 910,3d:cc:d4:58:78:9d,171.201.152.52,RO71VTCQ4575388610690162,2025-06-25 06:40:14,27707,16,25,49183,843cb248-322c-4ce5-a9ff-4af80c914439
Xenia Tabacu,xeniatabacu,xeniatabacu@acasa.ro,4600111182688,1964-03-31,"Soseaua Adrian Stănescu Nr. 517, Fetesti, 499756",0266 862 564,83:ed:db:4a:e3:e0,135.168.208.199,RO34BBKY0781339803670688,2025-06-25 06:40:14,12240,390,731,1890011,3dcf2c30-11b7-4f0b-86db-cb0e97a7e24d
Claudia Mazilescu,claudiamazilescu,claudiamazilescu@post.ro,3251225423422,1925-01-12,"Bulevardul Nemeș Nr. 24, Greci, 524620",0257 968 585,f2:55:f2:d1:d1:1f,36.146.77.192,RO37NNFF8718921710408856,2025-06-25 06:40:14,6850,580,246,350132,78ff0251-a26c-477e-8253-72db125f14f4
Edgar Dochioiu,edgardochioiu,edgardochioiu@email.ro,1000931416457,1975-07-03,"Drumul Inocențiu Manole Nr. 353 Bl. 93  Sc. 10 Ap. 129, Gilau, 582609",0763 162 730,25:5b:5a:31:dc:79,175.190.65.80,RO51JBNW5664085642952972,2025-06-25 06:40:14,25639,606,71,767883,f61ee644-1f9f-44c3-a20c-f686dbd2ab86
Ludovica Stoica,ludovicastoica,ludovicastoica@email.ro,3790814075974,1981-04-21,"Intrarea Ionelia Eftimie Nr. 17 Bl. 25  Sc. 66 Ap. 428, Santana, 106066",0786 100 924,6a:fb:1c:7e:0e:60,98.9.232.128,RO59GRXB2711771098709951,2025-06-25 06:40:14,21796,58,696,1979684,821e906d-c559-45c7-b040-ce3c7b48852a
Octav Popescu,octavpopescu,octavpopescu@acasa.ro,5200830153928,1996-03-18,"Bulevardul Aurelia Popa Nr. 490, Cluj-Napoca, 902096",0753 164 563,8b:1c:53:fc:74:0c,178.109.219.42,RO92XAVC4694412072174064,2025-06-25 06:40:14,9177,174,797,1481675,0c797f26-1312-4974-ab44-5c2c75183328
Valentin Eftimie,valentineftimie,valentineftimie@gmail.com,6250721379355,1918-12-17,"Intrarea Ababei Nr. 918 Bl. 73  Sc. 85 Ap. 266, Tarnaveni, 578493",0752 024 567,a6:59:be:91:cf:db,204.215.164.194,RO42PTPL1817721026186410,2025-06-25 06:40:14,22143,146,439,305695,e0f34273-8f09-4fc4-aa15-4c1e59aec544
Voicu Gheorghiu,voicugheorghiu,voicugheorghiu@post.ro,3620719045901,1978-12-06,"Soseaua Lavinia Dima Nr. 876 Bl. 37  Sc. 19 Ap. 422, Cumpana, 218630",0729 825 607,50:6f:76:32:cd:bb,39.204.238.74,RO74QASV8215221764232471,2025-06-25 06:40:14,10158,183,715,1636598,beedd322-be3b-49b8-8e18-0b531d7ecb2e
